B,alg,inst,d,banda,h0,semilla,exito,evals,cruda,simple,t
100,HC,14,10,0,10,3,1,23,10,10,1.138500010711141e-05
100,HC,14,10,0,10,4,1,23,10,10,1.104200009649503e-05
100,HC,14,10,0,10,5,1,40,10,10,2.3457999759557424e-05
100,HC,14,10,0,10,6,1,23,10,10,1.1024999821529491e-05
100,HC,14,10,0,10,7,1,42,14,14,2.0540999685181305e-05
100,HC,14,10,0,10,8,1,46,10,10,5.243399982646224e-05
100,HC,14,10,0,10,9,1,40,10,10,2.5598999854992144e-05
100,HC,15,9,0,9,0,1,18,9,9,1.1379000170563813e-05
100,HC,15,9,0,9,1,1,18,9,9,9.968999620468821e-06
100,HC,15,9,0,9,2,1,18,9,9,9.795999631023733e-06
100,HC,15,9,0,9,3,1,18,9,9,9.621000117476797e-06
100,HC,15,9,0,9,4,1,28,9,9,1.9422000150370877e-05
100,HC,15,9,0,9,5,1,18,9,9,1.0258000202156836e-05
100,HC,15,9,0,9,6,1,18,9,9,9.634999969421187e-06
100,HC,15,9,0,9,7,1,60,9,9,3.9508000099885976e-05
100,HC,15,9,0,9,8,1,39,9,9,2.5551999897288624e-05
100,HC,15,9,0,9,9,1,18,9,9,1.0213000223302515e-05
100,HC,16,8,0,8,0,1,26,8,8,1.4826999631623039e-05
100,HC,16,8,0,8,1,1,18,8,8,9.435999800189165e-06
100,HC,16,8,0,8,2,1,18,8,8,9.49300010688603e-06
100,HC,16,8,0,8,3,1,64,12,12,3.644599973995355e-05
100,HC,16,8,0,8,4,1,26,8,8,1.4187000033416552e-05
100,HC,16,8,0,8,5,1,18,8,8,9.3049998213246e-06
100,HC,16,8,0,8,6,1,18,8,8,8.955999874160625e-06
100,HC,16,8,0,8,7,1,32,8,8,1.9359999896551017e-05
100,HC,16,8,0,8,8,1,50,8,8,2.5293000362580642e-05
100,HC,16,8,0,8,9,1,54,8,8,3.2947999898169655e-05
100,HC,17,10,0,8,0,1,39,12,12,2.6231999981973786e-05
100,HC,17,10,0,8,1,1,70,10,10,4.344100034359144e-05
100,HC,17,10,0,8,2,1,27,12,12,1.5916999927867437e-05
100,HC,17,10,0,8,3,1,24,10,10,1.446999976906227e-05
100,HC,17,10,0,8,4,1,30,10,10,1.937300021381816e-05
100,HC,17,10,0,8,5,1,37,12,12,2.1452000055433018e-05
100,HC,17,10,0,8,6,1,24,10,10,1.3602999842987629e-05
100,HC,17,10,0,8,7,1,27,12,12,1.503000021330081e-05
100,HC,17,10,0,8,8,1,34,10,10,1.9724000139831332e-05
100,HC,17,10,0,8,9,1,34,12,12,4.10960001318017e-05
100,HC,18,9,0,7,0,1,34,9,9,2.6220000108878594e-05
100,HC,18,9,0,7,1,0,100,,,6.344600024021929e-05
100,HC,18,9,0,7,2,1,37,9,9,2.3043000055622542e-05
100,HC,18,9,0,7,3,1,95,9,9,5.933699958404759e-05
100,HC,18,9,0,7,4,1,93,9,9,5.508899994310923e-05
100,HC,18,9,0,7,5,0,100,,,6.197300035637454e-05
100,HC,18,9,0,7,6,1,24,9,9,1.5488999906665413e-05
100,HC,18,9,0,7,7,1,64,9,9,3.6222000289853895e-05
100,HC,18,9,0,7,8,0,100,,,6.106999990151962e-05
100,HC,18,9,0,7,9,1,30,9,9,1.8116999854100868e-05
100,HC,19,10,0,10,0,1,21,10,10,1.2031000096612843e-05
100,HC,19,10,0,10,1,1,40,10,10,2.273600011903909e-05
100,HC,19,10,0,10,2,1,51,12,12,2.7755000246543204e-05
100,HC,19,10,0,10,3,1,21,10,10,4.347399999460322e-05
100,HC,19,10,0,10,4,1,21,10,10,1.3097999726596754e-05
100,HC,19,10,0,10,5,1,21,10,10,1.1159999758092454e-05
100,HC,19,10,0,10,6,1,21,10,10,1.071599990609684e-05
100,HC,19,10,0,10,7,1,21,10,10,1.0864000159926945e-05
100,HC,19,10,0,10,8,1,21,10,10,1.076299986380036e-05
100,HC,19,10,0,10,9,1,21,10,10,1.0803999884956283e-05
100,HC,20,7,0,7,0,1,17,7,7,8.96299980013282e-06
100,HC,20,7,0,7,1,1,34,7,7,2.8423999992810423e-05
